token_GN	lemma_NL	upos	line	note	check
twij	twee	NUM	4	NA	NA
erkende	erkende	ADJ	4	NA	NA
streektoalen	streektaal	NOUN	4	NA	NA
van	van	ADP	4	NA	NA
Nederlaand	Nederland	PROPN	4	NA	NA
.	.	PUNCT	4	NA	NA
Binnen	binnen	ADP	5	NA	NA
dizze	deze	DET	5	NA	NA
Leegsaksische	Leegsaksische	ADJ	5	NA	NA
streektoal	streektaal	NOUN	5	NA	NA
vörmt	vörmen	ADP	5	NA	NA
t	het	DET	5	NA	NA
Grunnegs	Gronings	PROPN	5	NA	NA
,	,	PUNCT	5	NA	NA
soamen	samen	ADV	5	NA	NA
mit	met	ADP	5	NA	NA
t	het	DET	5	NA	NA
Oostfrais	Oostfrais	PROPN	5	NA	NA
n	een	DET	5	NA	NA
apaart	apart	ADJ	5	NA	NA
kluster	kluster	NOUN	5	NA	NA
Noordwest-Saksische	Noordwest-Saksische	PROPN	5	NA	NA
dialekten	dialekten	VERB	5	NA	NA
.	.	PUNCT	5	NA	NA
Dizze	deze	DET	6	NA	NA
apaarte	apart	ADJ	6	NA	NA
stoates	stoate	NOUN	6	NA	NA
het	hebben	AUX	6	NA	NA
t	het	PRON	6	NA	NA
Grunnegs-Oostfrais	Grunnegs-Oostfrais	PROPN	6	NA	NA
te	te	ADP	6	NA	NA
daanken	daanken	VERB	6	NA	NA
aan	aan	ADP	6	NA	NA
de	de	DET	6	NA	NA
ienvloud	ienvloed	NOUN	6	NA	NA
van	van	ADP	6	NA	NA
t	het	DET	6	NA	NA
Frais	Frais	PROPN	6	NA	NA
(	(	PUNCT	6	NA	NA
zai	zij	PRON	6	NA	NA
t	het	PRON	6	NA	NA
heufdstok	heufdstok	VERB	6	NA	NA
Ontstoan	ontstaan	PROPN	6	NA	NA
)	)	PUNCT	6	NA	NA
.	.	PUNCT	6	NA	NA
Ien	in	ADP	7	NA	NA
historisch	historisch	ADJ	7	NA	NA
opzicht	opzicht	NOUN	7	NA	NA
proat	spreken	VERB	7	NA	NA
man	man	NOUN	7	NA	NA
ook	ook	ADV	7	NA	NA
wel	wel	ADV	7	NA	NA
van	van	ADP	7	NA	NA
Nijgrunnegs	Nijgronings	PROPN	7	NA	NA
of	of	CCONJ	7	NA	NA
Nij-Nijgrunnegs	Nij-Nijgronings	PROPN	7	NA	NA
,	,	PUNCT	7	NA	NA
wat	wat	PRON	7	NA	NA
de	de	DET	7	NA	NA
verwottern	verwotteren	NOUN	7	NA	NA
mit	met	ADP	7	NA	NA
t	het	DET	7	NA	NA
Nederlaands	Nederlaands	PROPN	7	NA	NA
aangeft	alangeft	VERB	7	NA	NA
.	.	PUNCT	7	NA	NA
Zo	zo	ADV	8	NA	NA
as	als	SCONJ	8	NA	NA
al	al	ADV	8	NA	NA
nuimd	noemen	VERB	8	NA	NA
,	,	PUNCT	8	NA	NA
vörmt	vörmen	VERB	8	NA	NA
t	het	DET	8	NA	NA
Grunnegs	Gronings	PROPN	8	NA	NA
soamen	samen	ADV	8	NA	NA
mit	met	ADP	8	NA	NA
t	het	DET	8	NA	NA
Oostfrais	Oostfrais	PROPN	8	NA	NA
n	een	DET	8	NA	NA
apaarte	apart	ADJ	8	NA	NA
groep	groep	NOUN	8	NA	NA
binnen	zijn	AUX	8	NA	NA
t	het	PRON	8	NA	NA
Leegsaksisch	Leegsaksisch	PROPN	8	NA	NA
.	.	PUNCT	8	NA	NA
Dit	dit	PRON	9	NA	NA
het	hebben	AUX	9	NA	NA
onderaandere	onderaandere	ADJ	9	NA	NA
te	te	ADP	9	NA	NA
moaken	maken	VERB	9	NA	NA
,	,	PUNCT	9	NA	NA
mit	met	ADP	9	NA	NA
dat	dat	PRON	9	NA	NA
der	er	ADV	9	NA	NA
ienvlouden	ienvlouden	VERB	9	NA	NA
binnen	zijn	AUX	9	NA	NA
van	van	ADP	9	NA	NA
aal	al	DET	9	NA	NA
kaanten	kant	NOUN	9	NA	NA
.	.	PUNCT	9	NA	NA
t	het	PRON	9	NA	NA
Maist	meest	VERB	9	NA	NA
kenmaarkende	kenmaarkennen	NOUN	9	NA	NA
van	van	ADP	9	NA	NA
t	het	DET	9	NA	NA
Grunnegs	Gronings	PROPN	9	NA	NA
binnen	zijn	AUX	9	NA	NA
de	de	DET	9	NA	NA
twijklanken	twijklank	NOUN	9	NA	NA
,	,	PUNCT	9	NA	NA
dij	die	PRON	9	NA	NA
zowel	zowel	ADV	9	NA	NA
Frais	Frais	ADJ	9	NA	NA
as	als	SCONJ	9	NA	NA
Westfeels	Westfeels	PROPN	9	NA	NA
van	van	ADP	9	NA	NA
oart	aart	NOUN	9	NA	NA
binnen	zijn	AUX	9	NA	NA
en	en	CCONJ	9	NA	NA
dij	die	PRON	9	NA	NA
bestoan	bestaan	VERB	9	NA	NA
ien	in	ADP	9	NA	NA
laange	lang	ADJ	9	NA	NA
en	en	CCONJ	9	NA	NA
körte	körte	ADJ	9	NA	NA
vörms	vorm	NOUN	9	NA	NA
.	.	PUNCT	9	NA	NA
Veur	voor	ADP	10	NA	NA
n	een	DET	10	NA	NA
oetgebraaid	uitgebreid	ADJ	10	NA	NA
overzicht	overzicht	NOUN	10	NA	NA
van	van	ADP	10	NA	NA
toalkundege	toalkunder	ADJ	10	NA	NA
aigensheden	aigenshjden	NOUN	10	NA	NA
van	van	ADP	10	NA	NA
t	het	DET	10	NA	NA
Grunnegs	Gronings	PROPN	10	NA	NA
,	,	PUNCT	10	NA	NA
zai	zij	PRON	10	NA	NA
de	de	DET	10	NA	NA
zieden	zijden	NOUN	10	NA	NA
van	van	ADP	10	NA	NA
de	de	DET	10	NA	NA
Grönnegse	Grönnegs	PROPN	10	NA	NA
toalwiezer	toalwieos	NOUN	10	NA	NA
.	.	PUNCT	10	NA	NA
t	het	DET	10	NA	NA
Grunnegs	Gronings	PROPN	10	NA	NA
wordt	worden	AUX	10	NA	NA
proat	spreken	VERB	10	NA	NA
ien	in	ADP	10	NA	NA
haile	heel	ADJ	10	NA	NA
provìnzie	provìnzie	NOUN	10	NA	NA
Grunnen	Groningen	PROPN	10	NA	NA
,	,	PUNCT	10	NA	NA
de	de	DET	10	NA	NA
kop	kop	NOUN	10	NA	NA
van	van	ADP	10	NA	NA
Drint	Drint	NOUN	10	NA	NA
sikkom	bijna	ADV	10	NA	NA
tin	t	ADP	10	NA	NA
noorden	noorden	NOUN	10	NA	NA
van	van	ADP	10	NA	NA
gemainte	gemeente	NOUN	10	NA	NA
Azzen	Assen	PROPN	10	NA	NA
,	,	PUNCT	10	NA	NA
tin	t	ADP	10	NA	NA
oosten	oosten	NOUN	10	NA	NA
van	van	ADP	10	NA	NA
Hondsrog	Hondsrog	PROPN	10	NA	NA
(	(	PUNCT	10	NA	NA
de	de	DET	10	NA	NA
veenkelonies	veenkelonijs	NOUN	10	NA	NA
)	)	PUNCT	10	NA	NA
en	en	CCONJ	10	NA	NA
t	het	DET	10	NA	NA
oostelke	oostelijk	ADJ	10	NA	NA
dail	deel	NOUN	10	NA	NA
van	van	ADP	10	NA	NA
de	de	DET	10	NA	NA
Fraise	Fraise	PROPN	10	NA	NA
gemainte	gemeente	VERB	10	NA	NA
Köllumerlaand	Köllumerland	PROPN	10	NA	NA
c.a	c.a	PROPN	10	NA	NA
.	.	PUNCT	10	NA	NA
om	om	ADP	10	NA	NA
en	en	CCONJ	10	NA	NA
bie	nabij	ADP	10	NA	NA
de	de	DET	10	NA	NA
lougen	louigen	NOUN	10	NA	NA
De	de	DET	10	NA	NA
Pomp	Pomp	NOUN	10	NA	NA
,	,	PUNCT	10	NA	NA
Köllum	Köllum	PROPN	10	NA	NA
,	,	PUNCT	10	NA	NA
Boerum	Boerum	PROPN	10	NA	NA
en	en	CCONJ	10	NA	NA
Muntjeziel	muntjeziel	PROPN	10	NA	NA
.	.	PUNCT	10	NA	NA
Om	om	ADP	11	NA	NA
en	en	CCONJ	11	NA	NA
bie	nabij	ADP	11	NA	NA
de	de	DET	11	NA	NA
lougen	louigen	NOUN	11	NA	NA
Moarum	Moarum	PROPN	11	NA	NA
,	,	PUNCT	11	NA	NA
De	de	DET	11	NA	NA
Wilp	Wilp	NOUN	11	NA	NA
en	en	CCONJ	11	NA	NA
De	de	DET	11	NA	NA
Penne	Penne	NOUN	11	NA	NA
wordt	worden	AUX	11	NA	NA
noast	naast	ADP	11	NA	NA
t	het	DET	11	NA	NA
Grunnegs	Gronings	PROPN	11	NA	NA
ook	ook	ADV	11	NA	NA
Frais	Frais	PROPN	11	NA	NA
proat	spreken	VERB	11	NA	NA
.	.	PUNCT	11	NA	NA
Ien	in	ADP	12	NA	NA
Köllum	Köllum	PROPN	12	NA	NA
wordt	worden	AUX	12	NA	NA
noast	naast	ADP	12	NA	NA
t	het	DET	12	NA	NA
Grunnegs	Gronings	PROPN	12	NA	NA
ook	ook	ADV	12	NA	NA
t	het	DET	12	NA	NA
Stadsfrais	Stadsfrais	PROPN	12	NA	NA
proat	spreken	VERB	12	NA	NA
,	,	PUNCT	12	NA	NA
dat	dat	PRON	12	NA	NA
nait	niet	PART	12	NA	NA
hail	heel	ADJ	12	NA	NA
veul	veel	PRON	12	NA	NA
òfwiekt	òfwijken	VERB	12	NA	NA
van	van	ADP	12	NA	NA
t	het	DET	12	NA	NA
Westerkertaaierse	Westerkertaaierse	PROPN	12	NA	NA
dialekt	dialeken	VERB	12	NA	NA
van	van	ADP	12	NA	NA
doar	daar	ADV	12	NA	NA
.	.	PUNCT	12	NA	NA
			0	NA	NA
t	het	DET	13	NA	NA
Grunnegs	Gronings	PROPN	13	NA	NA
wordt	worden	AUX	13	NA	NA
proat	spreken	VERB	13	NA	NA
deur	door	ADP	13	NA	NA
om	om	ADP	13	NA	NA
en	en	CCONJ	13	NA	NA
bie	nabij	ADP	13	NA	NA
60	60	NUM	13	NA	NA
persìnt	persìnt	NOUN	13	NA	NA
van	van	ADP	13	NA	NA
de	de	DET	13	NA	NA
mìnsken	mìnssen	NOUN	13	NA	NA
ien	in	ADP	13	NA	NA
de	de	DET	13	NA	NA
provìnzie	provìnzie	NOUN	13	NA	NA
Grunnen	Groningen	PROPN	13	NA	NA
,	,	PUNCT	13	NA	NA
woaronder	woaronder	ADV	13	NA	NA
n	een	DET	13	NA	NA
groot	groot	ADJ	13	NA	NA
dail	deel	NOUN	13	NA	NA
ollere	oller	ADJ	13	NA	NA
minsken	minssen	VERB	13	NA	NA
.	.	PUNCT	13	NA	NA
t	het	PRON	13	NA	NA
Aantel	Aantel	ADJ	13	NA	NA
sprekers	spreker	NOUN	13	NA	NA
komt	komen	VERB	13	NA	NA
hierdeur	hierdoor	NOUN	13	NA	NA
op	op	ADP	13	NA	NA
om	om	ADP	13	NA	NA
en	en	CCONJ	13	NA	NA
bie	nabij	ADP	13	NA	NA
205.000	205.000	NUM	13	NA	NA
mìnsken	mìnssen	NOUN	13	NA	NA
.	.	PUNCT	13	NA	NA
Ien	in	ADP	14	NA	NA
de	de	DET	14	NA	NA
provìnzie	provìnzie	NOUN	14	NA	NA
Drìnte	drìnen	VERB	14	NA	NA
wordt	worden	AUX	14	NA	NA
t	het	DET	14	NA	NA
Grunnegs	Gronings	PROPN	14	NA	NA
deur	door	ADP	14	NA	NA
om	om	ADP	14	NA	NA
en	en	CCONJ	14	NA	NA
bie	nabij	ADP	14	NA	NA
90.000	90.000	NUM	14	NA	NA
mìnsken	mìnssen	NOUN	14	NA	NA
proat	spreken	VERB	14	NA	NA
en	en	CCONJ	14	NA	NA
ien	in	ADP	14	NA	NA
de	de	DET	14	NA	NA
gemainte	gemeente	NOUN	14	NA	NA
Köllumerlaand	Köllumerland	PROPN	14	NA	NA
deur	deur	ADP	14	NA	NA
om	om	ADP	14	NA	NA
en	en	CCONJ	14	NA	NA
bie	nabij	ADP	14	NA	NA
5.000	5.000	NUM	14	NA	NA
mìnsken	mìnssen	NOUN	14	NA	NA
.	.	PUNCT	14	NA	NA
Hiermit	Hiermee	ADV	15	NA	NA
komt	komen	VERB	15	NA	NA
t	het	DET	15	NA	NA
sprekersaantel	sprekersaantel	NOUN	15	NA	NA
op	op	ADP	15	NA	NA
om	om	ADP	15	NA	NA
en	en	CCONJ	15	NA	NA
bie	nabij	ADP	15	NA	NA
310.000	310.000	NUM	15	NA	NA
.	.	PUNCT	15	NA	NA
Worden	worden	VERB	16	NA	NA
Stad	Groningen	PROPN	16	NA	NA
en	en	CCONJ	16	NA	NA
Hoaren	Haar	PROPN	16	NA	NA
nait	niet	PART	16	NA	NA
mitrekend	mitrekennen	VERB	16	NA	NA
,	,	PUNCT	16	NA	NA
den	dan	ADV	16	NA	NA
zol	zullen	AUX	16	NA	NA
t	het	DET	16	NA	NA
sprekersaantel	sprekersaantel	NOUN	16	NA	NA
oplopen	oplopen	VERB	16	NA	NA
tou	toe	ADP	16	NA	NA
om	om	ADP	16	NA	NA
en	en	CCONJ	16	NA	NA
bie	nabij	ADP	16	NA	NA
80	80	NUM	16	NA	NA
persìnt	persìnt	NOUN	16	NA	NA
.	.	PUNCT	16	NA	NA
Veur	voor	ADP	17	NA	NA
de	de	DET	17	NA	NA
ollern	ollering	NOUN	17	NA	NA
is	zijn	AUX	17	NA	NA
t	het	PRON	17	NA	NA
Grunnegs	Gronings	PROPN	17	NA	NA
maisttieds	meestal	ADV	17	NA	NA
de	de	DET	17	NA	NA
moudertoal	moudertaal	NOUN	17	NA	NA
.	.	PUNCT	17	NA	NA
Nog	nog	ADV	18	NA	NA
n	een	DET	18	NA	NA
hail	heel	ADJ	18	NA	NA
ìnde	ìnd	ADJ	18	NA	NA
olle	oud	ADJ	18	NA	NA
Grunnegers	groninger	NOUN	18	NA	NA
kinnen	kunnen	AUX	18	NA	NA
naauwlieks	naauwlijk	ADV	18	NA	NA
fesounlek	fasoenlijk	ADJ	18	NA	NA
Nederlaands	Nederlaands	PROPN	18	NA	NA
,	,	PUNCT	18	NA	NA
omreden	omdat	SCONJ	18	NA	NA
zai	zij	PRON	18	NA	NA
t	het	PRON	18	NA	NA
gewoon	gewoon	ADJ	18	NA	NA
binnen	zijn	AUX	18	NA	NA
om	om	ADP	18	NA	NA
Grunnegs	Gronings	PROPN	18	NA	NA
tou	toe	ADP	18	NA	NA
proaten	spreken	VERB	18	NA	NA
.	.	PUNCT	18	NA	NA
Vrouger	vroeger	ADJ	19	NA	NA
wör	worden	AUX	19	NA	NA
der	er	ADV	19	NA	NA
ook	ook	ADV	19	NA	NA
les	ijs	NOUN	19	NA	NA
geven	geven	VERB	19	NA	NA
ien	in	ADP	19	NA	NA
t	het	DET	19	NA	NA
Grunnegs	Gronings	PROPN	19	NA	NA
omdat	omdat	SCONJ	19	NA	NA
schoulmeester	schoulmeester	NOUN	19	NA	NA
zulf	zelf	ADV	19	NA	NA
ook	ook	ADV	19	NA	NA
nait	niet	PART	19	NA	NA
goud	goed	ADJ	19	NA	NA
Hollaands	Hollaands	PROPN	19	NA	NA
kon	kunnen	AUX	19	NA	NA
.	.	PUNCT	19	NA	NA
Tot	tot	ADP	20	NA	NA
ongeveer	ongeveer	ADP	20	NA	NA
de	de	DET	20	NA	NA
joaren	jaar	NOUN	20	NA	NA
60	60	NUM	20	NA	NA
tou	toe	ADP	20	NA	NA
,	,	PUNCT	20	NA	NA
was	zijn	AUX	20	NA	NA
t	het	PRON	20	NA	NA
hail	heel	ADJ	20	NA	NA
normoal	normoal	ADV	20	NA	NA
ien	in	ADP	20	NA	NA
Grunnen	Groningen	PROPN	20	NA	NA
om	om	ADP	20	NA	NA
t	het	DET	20	NA	NA
Grunnegs	Gronings	PROPN	20	NA	NA
as	als	SCONJ	20	NA	NA
eerste	één	ADJ	20	NA	NA
toal	taal	NOUN	20	NA	NA
te	te	ADP	20	NA	NA
			0	NA	NA
hebben	hebben	VERB	21	NA	NA
en	en	CCONJ	21	NA	NA
t	het	DET	21	NA	NA
Nederlaands	Nederlaands	PROPN	21	NA	NA
as	als	SCONJ	21	NA	NA
twijdent	twijdent	NUM	21	NA	NA
.	.	PUNCT	21	NA	NA
Veur	voor	ADP	22	NA	NA
de	de	DET	22	NA	NA
maiste	veel	ADV	22	NA	NA
luu	lui	NOUN	22	NA	NA
onder	onder	ADP	22	NA	NA
de	de	DET	22	NA	NA
65	65	NUM	22	NA	NA
joar	jaar	NOUN	22	NA	NA
is	zijn	AUX	22	NA	NA
t	het	PRON	22	NA	NA
Grunnegs	Gronings	PROPN	22	NA	NA
de	de	DET	22	NA	NA
twijde	twee	ADJ	22	NA	NA
toal	taal	NOUN	22	NA	NA
.	.	PUNCT	22	NA	NA
Ook	ook	ADV	23	NA	NA
tegenswoordeg	tegenswoordig	ADJ	23	NA	NA
nog	nog	ADV	23	NA	NA
,	,	PUNCT	23	NA	NA
wordt	worden	AUX	23	NA	NA
t	het	PRON	23	NA	NA
Grunnegs	Gronings	PROPN	23	NA	NA
veul	veel	PRON	23	NA	NA
proat	spreken	VERB	23	NA	NA
onder	onder	ADP	23	NA	NA
de	de	DET	23	NA	NA
jeugd	jeugd	NOUN	23	NA	NA
,	,	PUNCT	23	NA	NA
mòr	mòr	ADV	23	NA	NA
nait	niet	PART	23	NA	NA
meer	veel	ADV	23	NA	NA
t	het	DET	23	NA	NA
zuvere	zuver	ADJ	23	NA	NA
Grunnegs	Gronings	PROPN	23	NA	NA
.	.	PUNCT	23	NA	NA
Doch	doch	ADV	24	NA	NA
kaizen	kiezen	VERB	24	NA	NA
veul	veel	PRON	24	NA	NA
olders	ouder	NOUN	24	NA	NA
der	er	ADV	24	NA	NA
tegenswoordeg	tegenswoordig	ADJ	24	NA	NA
veur	voor	ADP	24	NA	NA
om	om	ADP	24	NA	NA
heur	haar	PRON	24	NA	NA
kinder	kind	NOUN	24	NA	NA
Nederlaandstoaleg	Nederlaandstalig	ADJ	24	NA	NA
groot	groot	ADJ	24	NA	NA
te	te	ADP	24	NA	NA
brengen	brengen	VERB	24	NA	NA
,	,	PUNCT	24	NA	NA
woardeur	woardoor	ADP	24	NA	NA
t	het	DET	24	NA	NA
sprekersaantel	sprekersaantel	NOUN	24	NA	NA
deellopt	deellopen	VERB	24	NA	NA
en	en	CCONJ	24	NA	NA
zai	zij	PRON	24	NA	NA
mainen	menen	VERB	24	NA	NA
dat	dat	PRON	24	NA	NA
man	man	NOUN	24	NA	NA
mit	met	ADP	24	NA	NA
t	het	DET	24	NA	NA
Hollaands	Hollaands	PROPN	24	NA	NA
as	als	SCONJ	24	NA	NA
eerste	een	ADJ	24	NA	NA
toal	taal	NOUN	24	NA	NA
hoger	hoog	ADJ	24	NA	NA
ien	in	ADP	24	NA	NA
de	de	DET	24	NA	NA
soamenleven	samenleven	NOUN	24	NA	NA
komt	komen	VERB	24	NA	NA
.	.	PUNCT	24	NA	NA
t	het	DET	24	NA	NA
Grunnegs	Gronings	PROPN	24	NA	NA
is	zijn	AUX	24	NA	NA
naauw	nauw	ADV	24	NA	NA
verbonden	verbinden	VERB	24	NA	NA
mit	met	ADP	24	NA	NA
t	het	DET	24	NA	NA
Drints	drint	PROPN	24	NA	NA
,	,	PUNCT	24	NA	NA
t	het	PRON	24	NA	NA
Westlaauwers	Westlaauwer	PROPN	24	NA	NA
Frais	Frais	PROPN	24	NA	NA
,	,	PUNCT	24	NA	NA
t	het	PRON	24	NA	NA
Nederlaands	Nederlaands	PROPN	24	NA	NA
en	en	CCONJ	24	NA	NA
hail	heel	ADJ	24	NA	NA
wied	ver	ADJ	24	NA	NA
t	het	DET	24	NA	NA
			0	NA	NA
Deens	Deens	ADV	25	NA	NA
en	en	CCONJ	25	NA	NA
t	het	PRON	25	NA	NA
Oldenbörgs	Oldenbörgs	PROPN	25	NA	NA
.	.	PUNCT	25	NA	NA
t	het	DET	25	NA	NA
Grunnegs	Gronings	PROPN	25	NA	NA
is	zijn	AUX	25	NA	NA
hail	heel	ADJ	25	NA	NA
naauw	nauw	ADJ	25	NA	NA
verbonden	verbinden	VERB	25	NA	NA
mit	met	ADP	25	NA	NA
t	het	DET	25	NA	NA
Oostfrais	Oostfrais	NOUN	25	NA	NA
en	en	CCONJ	25	NA	NA
t	het	DET	25	NA	NA
Selterfrais	Selterfrais	PROPN	25	NA	NA
.	.	PUNCT	25	NA	NA
De	de	DET	26	NA	NA
verwaantschop	verwaantschap	NOUN	26	NA	NA
mit	met	ADP	26	NA	NA
t	het	DET	26	NA	NA
Oostfrais	Oostfrais	NOUN	26	NA	NA
is	zijn	AUX	26	NA	NA
zo	zo	ADV	26	NA	NA
staark	sterk	ADJ	26	NA	NA
dat	dat	SCONJ	26	NA	NA
t	het	DET	26	NA	NA
Grunnegs	Gronings	PROPN	26	NA	NA
en	en	CCONJ	26	NA	NA
t	het	DET	26	NA	NA
Oostfrais	Oostfrais	PROPN	26	NA	NA
sumtieds	soms	VERB	26	NA	NA
zulfs	zelfs	ADV	26	NA	NA
as	als	SCONJ	26	NA	NA
ain	een	DET	26	NA	NA
toal	taal	NOUN	26	NA	NA
zain	zien	VERB	26	NA	NA
worden	worden	AUX	26	NA	NA
.	.	PUNCT	26	NA	NA
n	een	DET	26	NA	NA
Goud	goed	ADJ	26	NA	NA
veurbeeld	voorbeeld	NOUN	26	NA	NA
van	van	ADP	26	NA	NA
dizze	deze	DET	26	NA	NA
verwaantschop	verwaantschap	NOUN	26	NA	NA
binnen	zijn	AUX	26	NA	NA
de	de	DET	26	NA	NA
dialekten	dialekten	NOUN	26	NA	NA
ien	in	ADP	26	NA	NA
de	de	DET	26	NA	NA
lougen	louigen	NOUN	26	NA	NA
Schaanze	Schans	PROPN	26	NA	NA
ien	in	ADP	26	NA	NA
Grunnen	Groningen	PROPN	26	NA	NA
en	en	CCONJ	26	NA	NA
Bonnen	Bonnen	PROPN	26	NA	NA
ien	in	ADP	26	NA	NA
Oostfraislaand	Oostfraisland	PROPN	26	NA	NA
,	,	PUNCT	26	NA	NA
dij	die	PRON	26	NA	NA
vrouger	vroeger	ADJ	26	NA	NA
hailmoal	helmaal	ADV	26	NA	NA
overainkwammen	overainkwam	VERB	26	NA	NA
mit	met	ADP	26	NA	NA
ainander	einanaar	NOUN	26	NA	NA
,	,	PUNCT	26	NA	NA
mòr	mòr	ADV	26	NA	NA
tegenswoordeg	tegenswoordig	ADJ	26	NA	NA
wat	wat	PRON	26	NA	NA
meer	veel	ADV	26	NA	NA
oet	uit	ADP	26	NA	NA
nkander	elkaar	PRON	26	NA	NA
gruid	groeien	VERB	26	NA	NA
binnen	zijn	AUX	26	NA	NA
.	.	PUNCT	26	NA	NA
n	een	DET	26	NA	NA
Groot	groot	ADJ	26	NA	NA
verschil	verschil	NOUN	26	NA	NA
tuzzen	tussen	ADP	26	NA	NA
Grunnegse	Gronings	PROPN	26	NA	NA
en	en	CCONJ	26	NA	NA
Oostfraise	Oostfrees	PROPN	26	NA	NA
dialekten	dialekten	VERB	26	NA	NA
is	zijn	AUX	26	NA	NA
t	het	DET	26	NA	NA
lainwoord	lainwoord	NOUN	26	NA	NA
.	.	PUNCT	26	NA	NA
Ien	in	ADP	27	NA	NA
t	het	DET	27	NA	NA
Grunnegs	Gronings	PROPN	27	NA	NA
kommen	komen	VERB	27	NA	NA
veul	veel	ADV	27	NA	NA
vergrunnegsde	vergrunnegsde	ADJ	27	NA	NA
Nederlaandse	Nederlaands	ADJ	27	NA	NA
lainwoorden	lainwoorden	NOUN	27	NA	NA
veur	voor	ADP	27	NA	NA
.	.	PUNCT	27	NA	NA
len	len	VERB	27	NA	NA
tieds	tieds	NOUN	27	NA	NA
binnen	zijn	AUX	27	NA	NA
ien	in	ADP	27	NA	NA
t	het	DET	27	NA	NA
Oostfrais	Oostfrais	PROPN	27	NA	NA
veuraal	vooral	ADV	27	NA	NA
veul	veel	PRON	27	NA	NA
Duutse	Duits	ADJ	27	NA	NA
lainwoorden	lainwoorden	NOUN	27	NA	NA
te	te	ADP	27	NA	NA
vinden	vinden	VERB	27	NA	NA
,	,	PUNCT	27	NA	NA
aal	al	ADV	27	NA	NA
wazzen	zijn	AUX	27	NA	NA
dit	dit	PRON	27	NA	NA
vrouger	vroeger	ADJ	27	NA	NA
,	,	PUNCT	27	NA	NA
sikkom	bijna	ADV	27	NA	NA
tot	tot	ADP	27	NA	NA
aan	aan	ADP	27	NA	NA
de	de	DET	27	NA	NA
verainen	vereen	NOUN	27	NA	NA
van	van	ADP	27	NA	NA
Duutslaand	Duitsland	PROPN	27	NA	NA
tou	toe	ADP	27	NA	NA
,	,	PUNCT	27	NA	NA
veurnoamelk	veurnoamelk	ADV	27	NA	NA
			0	NA	NA
Nederlaandsen	Nederlaands	PROPN	28	NA	NA
.	.	PUNCT	28	NA	NA
Toch	toch	ADV	29	NA	NA
binnen	zijn	AUX	29	NA	NA
der	er	ADV	29	NA	NA
nog	nog	ADV	29	NA	NA
wel	wel	ADV	29	NA	NA
dusdoaneg	dusdoanig	ADJ	29	NA	NA
veul	veel	ADV	29	NA	NA
Nederlaandse	Nederlaands	ADJ	29	NA	NA
worden	worden	AUX	29	NA	NA
over	over	ADP	29	NA	NA
ien	in	ADP	29	NA	NA
t	het	DET	29	NA	NA
Oostfrais	Oostfrais	NOUN	29	NA	NA
dat	dat	SCONJ	29	NA	NA
de	de	DET	29	NA	NA
Oostfraizen	Oostfraizen	NOUN	29	NA	NA
deur	door	ADP	29	NA	NA
aander	andere	ADJ	29	NA	NA
Duutsers	Duitser	NOUN	29	NA	NA
