token_GN	lemma_NL	upos	line	note
t	het	DET	6	
Daam	Daam	PROPN	6	
,	,	PUNCT	6	
dij	die	PRON	6	
t	het	PRON	6	
aan	aan	ADP	6	
t	het	DET	6	
noordelke	noordelijk	ADJ	6	
zied	zij	NOUN	6	
van	van	ADP	6	
t	het	DET	6	
Damsterdaip	Damsterdiep	PROPN	6	
liggen	liggen	VERB	6	
(	(	PUNCT	6	
opt	oppen	VERB	6	
Hoogelaand	Hoogeland	PROPN	6	
dus	dus	ADV	6	
)	)	PUNCT	6	
,	,	PUNCT	6	
heuren	horen	VERB	6	
toalkundeg	toalkundig	ADV	6	
bie	bij	ADP	6	
t	het	DET	6	
Oldambtster	Oldambtster	PROPN	6	
dialektgebied	dialektgebied	ADV	6	
.	.	PUNCT	6	
t	het	DET	6	
Hoogelaandsters	Hoogelaandster	NOUN	6	
wordt	worden	AUX	6	
tegenswoordeg	tegenswoordig	ADJ	6	
proat	praten	VERB	6	
deur	door	ADP	6	
om	om	ADP	6	
en	en	CCONJ	6	
bie	nabij	ADP	6	
55.000	55.000	NUM	6	
minsken	minssen	NOUN	6	
en	en	CCONJ	6	
is	zijn	AUX	6	
ain	een	NUM	6	
van	van	ADP	6	
dialekten	dialekten	VERB	6	
die	die	PRON	6	
bie	bij	ADP	6	
een	een	DET	6	
bult	hoop	NOUN	6	
minsken	minssen	VERB	6	
leeft	leven	VERB	6	
van	van	ADP	6	
Grunnen	Groningen	PROPN	6	
.	.	PUNCT	6	
Doch	doch	ADV	7	
minsen	mens	NOUN	7	
die	die	PRON	7	
het	het	AUX	7	
proaten	spreken	VERB	7	
wordt	worden	AUX	7	
stoaregaan	langzaamaan	ADV	7	
minder	minder	ADV	7	
,	,	PUNCT	7	
omreden	omdat	SCONJ	7	
dat	dat	PRON	7	
maisten	maisten	NOUN	7	
oet	uit	ADP	7	
oldern	olderen	NOUN	7	
bestait	bestan	VERB	7	
.	.	PUNCT	7	
			0	
t	het	DET	8	
Hoogelaandsters	Hoogelaandster	NOUN	8	
wordt	worden	AUX	8	
over	over	ADP	8	
t	het	DET	8	
algemain	algemeen	NOUN	8	
zain	zien	VERB	8	
as	als	SCONJ	8	
t	het	PRON	8	
maist	veel	ADV	8	
karakteristieke	karakteristijk	NOUN	8	
dialekt	dialect	VERB	8	
van	van	ADP	8	
Grunnen	Groningen	PROPN	8	
,	,	PUNCT	8	
dat	dat	PRON	8	
der	er	ADV	8	
ien	in	ADP	8	
zien	zijn	PRON	8	
beste	goed	ADJ	8	
vörm	vorm	NOUN	8	
proat	spreken	VERB	8	
wordt	worden	AUX	8	
.	.	PUNCT	8	
Dat	dat	PRON	9	
komt	komen	VERB	9	
middelkerwies	natuurlijk	ADV	9	
deurdat	deurdat	SCONJ	9	
ien	in	ADP	9	
t	het	DET	9	
Hoogelaands	Hoogelaands	PROPN	9	
de	de	DET	9	
typisch	typisch	NOUN	9	
Grunnegse	Gronings	ADJ	9	
twaiklanken	twaiklanken	VERB	9	
“	“	PUNCT	9	
ai	ij	INTJ	9	
”	”	PUNCT	9	
en	en	CCONJ	9	
“	“	PUNCT	9	
ou	oe	ADV	9	
”	”	PUNCT	9	
hail	heel	ADJ	9	
veul	veel	ADV	9	
veurkommen	veurkom	VERB	9	
,	,	PUNCT	9	
bieveurbeeld	bieveurbeeld	VERB	9	
ien	in	ADP	9	
"	"	PUNCT	9	
kouk	koek	NOUN	9	
”	”	PUNCT	9	
en	en	CCONJ	9	
“	“	PUNCT	9	
stain	steen	NOUN	9	
”	”	PUNCT	9	
.	.	PUNCT	9	
Woorden	woord	NOUN	10	
dij	die	PRON	10	
ien	in	ADP	10	
t	het	DET	10	
Veenkelonioals	veenkelonioals	NOUN	10	
nait	niet	PART	10	
zo	zo	ADV	10	
bruukt	gebruikt	VERB	10	
worden	worden	AUX	10	
,	,	PUNCT	10	
worden	worden	AUX	10	
dit	dit	PRON	10	
ien	in	ADP	10	
t	het	DET	10	
Hoogelaandsters	Hoogelaandster	NOUN	10	
voak	vaak	ADJ	10	
wel	wel	ADV	10	
.	.	PUNCT	10	
Bieveurbeeld	Bieveurbeeld	DET	11	
Veenkelonioalse	Veenkelonioals	ADJ	11	
woorden	woord	NOUN	11	
"	"	PUNCT	11	
eeuw	eeuw	NOUN	11	
"	"	PUNCT	11	
,	,	PUNCT	11	
“	“	PUNCT	11	
vieren	vier	VERB	11	
”	”	PUNCT	11	
en	en	CCONJ	11	
“	“	PUNCT	11	
moe	moe	INTJ	11	
”	”	PUNCT	11	
binnen	zijn	AUX	11	
ien	in	ADP	11	
t	het	DET	11	
			0	
Hoogelaandsters	Hoogelaandster	NOUN	12	
"	"	PUNCT	12	
aiw	aiw	INTJ	12	
”	”	PUNCT	12	
,	,	PUNCT	12	
			0	
“	“	PUNCT	13	
vaaiern	vaaiern	VERB	13	
”	”	PUNCT	13	
of	of	CCONJ	13	
“	“	PUNCT	13	
vijern	vijeren	NOUN	13	
"	"	PUNCT	13	
en	en	CCONJ	13	
“	“	PUNCT	13	
mou	moe	INTJ	13	
(	(	PUNCT	13	
der	er	ADV	13	
)	)	PUNCT	13	
"	"	PUNCT	13	
.	.	PUNCT	13	
Bie	bij	ADP	14	
n	een	DET	14	
enquête	enquête	NOUN	14	
oet	uit	ADP	14	
1991	1991	NUM	14	
wuir	worden	AUX	14	
deur	door	ADP	14	
			0	
maisten	maisten	ADV	15	
van	van	ADP	15	
ondervroagden	ondervroaggen	VERB	15	
t	het	DET	15	
Hoogelaandsters	Hoogelaandster	NOUN	15	
aanwezen	aanwezen	VERB	15	
as	als	SCONJ	15	
t	het	DET	15	
"	"	PUNCT	15	
beste	goed	ADJ	15	
"	"	PUNCT	15	
Grunnegs	Gronings	PROPN	15	
.	.	PUNCT	15	
			0	
Westerwoolds	Westerwoolds	PROPN	16	
Author	Author	PROPN	16	
:	:	PUNCT	16	
B.	B	PROPN	16	
Dijkstra	Dijkstra	PROPN	17	
,	,	PUNCT	17	
and	and	ADV	17	
others	other	NOUN	17	
Year	Year	ADV	17	
			0	
:	:	PUNCT	18	
2022	2022	NUM	18	
			0	
Number	Number	NOUN	19	
:	:	PUNCT	19	
Wikipedia	Wikipedia	PROPN	19	
Q487881	Q487881	NUM	19	
t	het	DET	19	
Westerwoolds	Westerwoolds	PROPN	19	
is	zijn	AUX	19	
ein	ein	NOUN	19	
van	van	ADP	19	
de	de	DET	19	
subdialekten	subdialekten	NOUN	19	
van	van	ADP	19	
t	het	DET	19	
Grönnegs	Grönnegs	PROPN	19	
en	en	CCONJ	19	
wodt	woden	VERB	19	
up	up	ADP	19	
Westerwoolde	Westerwooud	PROPN	19	
snakt	snakken	VERB	19	
.	.	PUNCT	19	
t	het	PRON	19	
Is	zijn	AUX	19	
t	het	DET	19	
meist	meist	NOUN	19	
Duutsek	Duutsijk	PROPN	19	
dialekt	dialect	VERB	19	
van	van	ADP	19	
Grönnen	Groningen	PROPN	19	
.	.	PUNCT	19	
t	het	PRON	19	
Heft	heffen	VERB	19	
Drèntse	Drènths	PROPN	19	
en	en	CCONJ	19	
Emslaandse	Emslaands	PROPN	19	
invlouden	invlouden	VERB	19	
.	.	PUNCT	19	
t	het	PRON	19	
Wodt	Woden	VERB	19	
binao	binao	ADV	19	
nich	nich	ADJ	19	
meer	meer	ADV	19	
snakt	snakken	VERB	19	
,	,	PUNCT	19	
man	man	NOUN	19	
olle	oud	ADJ	19	
mènzen	mèns	NOUN	19	
oet	uit	ADP	19	
Zèlng	Zèlng	PROPN	19	
,	,	PUNCT	19	
Vlagtwedde	Vlagtwet	PROPN	19	
en	en	CCONJ	19	
Onstwedde	Onstwet	PROPN	19	
deit	deien	VERB	19	
dat	dat	PRON	19	
noch	noch	ADP	19	
wol	willen	VERB	19	
.	.	PUNCT	19	
Ok	Oijk	ADV	20	
in	in	ADP	20	
Traopel	Traopel	PROPN	20	
hef	hjf	AUX	20	
t	het	PRON	20	
dialekt	dialeken	VERB	20	
noch	noch	ADV	20	
wat	wat	PRON	20	
Westerwooldse	Westerwoolds	ADJ	20	
invlouden	invlouden	NOUN	20	
,	,	PUNCT	20	
man	man	NOUN	20	
daor	daar	ADV	20	
wodt	woden	VERB	20	
vandaog	vandaog	ADV	20	
veelal	veelal	ADV	20	
			0	
Veenkeloniaols	Veenkeloniaols	ADJ	21	
praot	praot	NOUN	21	
.	.	PUNCT	21	
Tusken	Tusken	ADP	22	
de	de	DET	22	
dialekten	dialekten	NOUN	22	
in	in	ADP	22	
de	de	DET	22	
Westerwooldse	Westerwooldse	PROPN	22	
dörpen	dörpen	VERB	22	
bestaot	bestaot	ADJ	22	
ok	ok	NOUN	22	
noch	noch	ADP	22	
weder	weder	DET	22	
underscheiden	underscheiden	NOUN	22	
.	.	PUNCT	22	
			0	
t	het	DET	23	
Westerwoolds	Westerwoolds	PROPN	23	
heft	heffen	VERB	23	
laank	lang	ADJ	23	
bestaon	bestaon	ADJ	23	
as	als	SCONJ	23	
zulfstandeg	zulfstandig	ADJ	23	
dialekt	dialect	VERB	23	
deur	door	ADP	23	
zin	zin	NOUN	23	
isoleerde	isoleeren	VERB	23	
liggen	liggen	VERB	23	
.	.	PUNCT	23	
In	in	ADP	24	
de	de	DET	24	
Middeleiwen	Middeleiw	PROPN	24	
waar	waar	CCONJ	24	
Westerwoolde	Westerwooud	PROPN	24	
umrinkt	umrinken	VERB	24	
deur	door	ADP	24	
t	het	DET	24	
Boertanger	Boertanger	PROPN	24	
Moor	Miezen	PROPN	24	
.	.	PUNCT	24	
t	het	PRON	24	
Gaf	geven	VERB	24	
allendeg	allendeg	ADV	24	
twei	twei	ADP	24	
deurgangen	deurgang	VERB	24	
:	:	PUNCT	24	
eine	eine	ADJ	24	
bi	bi	ADJ	24	
Traopel	Traopel	NOUN	24	
en	en	CCONJ	24	
eine	eine	NOUN	24	
bi	bi	ADP	24	
Boertang	Boertang	PROPN	24	
.	.	PUNCT	24	
Daordeur	doorDaor	PRON	25	
is	zijn	AUX	25	
Westerwoolde	Westerwooud	PROPN	25	
bit	bit	ADP	25	
de	de	DET	25	
17	17	NUM	25	
.	.	PUNCT	25	
eiw	eiw	ADV	25	
immer	immer	ADV	25	
n	een	DET	25	
appaarte	appart	ADJ	25	
heerlekheid	heerlekheid	NOUN	25	
west	zijn	AUX	25	
en	en	CCONJ	25	
heurde	horen	VERB	25	
bestuurliek	bestuurlijk	NOUN	25	
doe	jij	PRON	25	
noch	noch	ADV	25	
bi	bi	ADP	25	
Muunster	Muunster	PROPN	25	
.	.	PUNCT	25	
Tegenwoordeg	tegenwoordig	ADJ	26	
wodt	woden	NOUN	26	
Westerwoolds	Westerwoold	PROPN	26	
zein	zein	VERB	26	
as	als	SCONJ	26	
n	een	DET	26	
Grönnegs	Grönnegs	PROPN	26	
dialekt	dialeken	VERB	26	
,	,	PUNCT	26	
wiel	wijl	AUX	26	
t	het	PRON	26	
haost	haost	VERB	26	
nich	nich	ADV	26	
meer	veel	ADV	26	
snakt	snakken	VERB	26	
wodt	woden	AUX	26	
.	.	PUNCT	26	
In	in	ADP	27	
tegenstellen	tegenstelling	VERB	27	
tou	toe	ADP	27	
de	de	DET	27	
annere	nner	ADJ	27	
Grönnegse	Gronings	NOUN	27	
dialekten	dialekten	VERB	27	
,	,	PUNCT	27	
is	zijn	AUX	27	
t	het	DET	27	
Westerwoolds	Westerwoolds	PROPN	27	
nich	nich	ADV	27	
deur	door	ADP	27	
t	het	DET	27	
Freis	Freis	PROPN	27	
beinvloud	beinvloed	VERB	27	
.	.	PUNCT	27	
De	de	DET	28	
letste	let	ADJ	28	
eiwen	eiw	NOUN	28	
is	zijn	AUX	28	
t	het	PRON	28	
Westerwoolds	Westerwoolds	PROPN	28	
stark	stark	ADJ	28	
beinvloud	beinvloed	NOUN	28	
deur	door	ADP	28	
t	het	DET	28	
Grönnegs	Grönnegs	PROPN	28	
.	.	PUNCT	28	
t	het	PRON	28	
Westerwoolds	Westerwoolds	VERB	28	
is	zijn	AUX	28	
van	van	ADP	28	
oerspronk	oersprinken	NOUN	28	
n	een	DET	28	
Veels	veels	NOUN	28	
dialekt	dialeken	VERB	28	
.	.	PUNCT	28	
t	het	PRON	28	
Oerspronkelke	Oerspronkelk	PROPN	28	
Westerwoolds	Westerwoolds	PROPN	28	
daarf	daarf	ADV	28	
dan	dan	ADV	28	
ook	ook	ADV	28	
nich	nich	ADJ	28	
indeild	geindeild	NOUN	28	
wodden	woden	VERB	28	
bi	bi	ADP	28	
t	het	DET	28	
Grönnegs	Grönnegs	PROPN	28	
,	,	PUNCT	28	
man	man	NOUN	28	
mout	moeten	AUX	28	
indeild	geindeild	ADJ	28	
worden	worden	AUX	28	
bi	bi	ADP	28	
t	het	DET	28	
Veels	Veels	PROPN	28	
,	,	PUNCT	28	
presiezer	presijs	NOUN	28	
zein	zein	AUX	28	
bi	bi	ADP	28	
de	de	DET	28	
westelke	westelijk	NOUN	28	
dialekten	dialekten	VERB	28	
,	,	PUNCT	28	
waor	waar	ADV	28	
ok	ok	VERB	28	
t	het	DET	28	
Emslaands	Emslaands	PROPN	28	
,	,	PUNCT	28	
			0	
Twênts	twênts	ADV	29	
en	en	CCONJ	29	
t	het	PRON	29	
Drênts	drênts	PROPN	29	
bi	bi	ADJ	29	
heuren	luisteren	NOUN	29	
deit	deat	VERB	29	
.	.	PUNCT	29	
Deur	door	ADP	30	
de	de	DET	30	
grote	groot	ADJ	30	
invloud	invloed	NOUN	30	
van	van	ADP	30	
de	de	DET	30	
anner	andnere	NOUN	30	
Grönnegse	Gronings	PROPN	30	
dialekten	dialekten	VERB	30	
,	,	PUNCT	30	
daarf	daarf	VERB	30	
t	het	DET	30	
Westerwoolds	Westerwoolds	PROPN	30	
noe	noe	ADP	30	
ok	ok	NOUN	30	
bi	bi	ADP	30	
t	het	DET	30	
Grönnegs	Grönnegs	PROPN	30	
indeild	geindeild	VERB	30	
wodden	woden	VERB	30	
,	,	PUNCT	30	
aal	al	ADV	30	
is	zijn	AUX	30	
nich	nich	ADV	30	
elke	elk	DET	30	
taolkundege	taolkunder	NOUN	30	
t	het	PRON	30	
hier	hier	ADV	30	
mit	met	ADP	30	
eins	eins	NOUN	30	
.	.	PUNCT	30	
t	het	PRON	30	
Gebiet	Gebijten	VERB	30	
waor	waor	ADV	30	
as	als	SCONJ	30	
vrouger	vroeger	ADJ	30	
t	het	DET	30	
Westerwoolds	Westerwoolds	PROPN	30	
snakt	snakken	VERB	30	
wodde	woden	VERB	30	
,	,	PUNCT	30	
bestun	besten	VERB	30	
oet	uit	ADP	30	
t	het	DET	30	
ganze	gans	NOUN	30	
gebiet	gebiet	VERB	30	
tusken	tussen	ADP	30	
de	de	DET	30	
twei	twei	NOUN	30	
moren	moren	VERB	30	
in	in	ADP	30	
.	.	PUNCT	30	
Anners	Annering	ADV	31	
zêgd	zêggen	VERB	31	
is	zijn	AUX	31	
dit	dit	PRON	31	
de	de	DET	31	
olle	oud	ADJ	31	
zaandtoenge	zaandtoeng	ADJ	31	
dei	dei	NOUN	31	
van	van	ADP	31	
Traopel	Traopel	PROPN	31	
tot	tot	ADP	31	
aan	aan	ADP	31	
Bewoolde	Bewoollen	PROPN	31	
luip	lopen	VERB	31	
.	.	PUNCT	31	
Dodestieds	dodestieds	ADV	32	
was	zijn	AUX	32	
Traopel	Traopel	PROPN	32	
t	het	DET	32	
meist	meist	NOUN	32	
isoleerd	isoleren	VERB	32	
,	,	PUNCT	32	
deurdat	deurdat	SCONJ	32	
t	het	PRON	32	
aan	aan	ADP	32	
drei	drei	ADJ	32	
zieden	zijden	NOUN	32	
deur	door	ADP	32	
t	het	DET	32	
moor	moor	NOUN	32	
umrinkt	umrinken	VERB	32	
was	zijn	AUX	32	
en	en	CCONJ	32	
daor	daar	ADV	32	
wordde	worden	VERB	32	
dan	dan	ADV	32	
			0	
ok	ok	VERB	33	
t	het	DET	33	
meist	meist	NOUN	33	
van	van	ADP	33	
t	het	DET	33	
Grönnegs	Grönnegs	PROPN	33	
ofwiekende	ofwiekennen	VERB	33	
dialekt	dialect	PRON	33	
snakt	snakken	VERB	33	
.	.	PUNCT	33	
In	in	ADP	34	
Bennewoold	Bennewooud	PROPN	34	
en	en	CCONJ	34	
Vreiskeloo	Vreiskeloo	PROPN	34	
wodde	woden	VERB	34	
n	een	DET	34	
overgaanksdialekt	overgaanksdialekken	NOUN	34	
en	en	CCONJ	34	
t	het	PRON	34	
dialekt	dialeken	VERB	34	
van	van	ADP	34	
Wedde	Wet	PROPN	34	
wodt	woden	VERB	34	
meistentieds	meistentieds	ADV	34	
as	als	SCONJ	34	
t	het	DET	34	
begunpunt	begunpunt	NOUN	34	
van	van	ADP	34	
t	het	DET	34	
Westerwoolds	Westerwoolds	PROPN	34	
zein	zein	VERB	34	
.	.	PUNCT	34	
			0	
Sunt	sinds	ADP	35	
de	de	DET	35	
ontginnen	ontginnen	NOUN	35	
van	van	ADP	35	
t	het	DET	35	
Boertangermoor	Boertangermiezen	PROPN	35	
het	hebben	AUX	35	
t	het	PRON	35	
Westerwoolds	Westerwoolds	PROPN	35	
veul	veel	PRON	35	
to	to	NOUN	35	
lieden	lijden	VERB	35	
had	hebben	VERB	35	
.	.	PUNCT	35	
Veuraal	vooral	ADV	36	
t	het	DET	36	
Veenkeloniaols	Veenkeloniaols	PROPN	36	
het	hebben	AUX	36	
n	een	DET	36	
grode	groot	ADJ	36	
stempel	stempel	NOUN	36	
up	up	ADP	36	
t	het	DET	36	
Westerwoolds	Westerwoolds	PROPN	36	
zet	zetten	VERB	36	
en	en	CCONJ	36	
vandaog	vandaog	ADV	36	
an	aan	ADP	36	
n	een	DET	36	
dag	dag	NOUN	36	
ken	kunnen	AUX	36	
man	man	PRON	36	
den	dan	ADV	36	
ok	ok	VERB	36	
nich	nich	ADV	36	
meer	veel	ADV	36	
echt	echt	ADJ	36	
van	van	ADP	36	
n	een	DET	36	
Westerwoolds	Westerwoolds	PROPN	36	
dialekt	dialect	VERB	36	
in	in	ADP	36	
Westerwoolde	Westerwooud	PROPN	36	
praoten	praoot	VERB	36	
.	.	PUNCT	36	
Nog	nog	ADV	37	
n	een	DET	37	
enkelde	enkelde	ADJ	37	
olle	oud	ADJ	37	
man	man	NOUN	37	
of	of	CCONJ	37	
vraauw	vrouw	NOUN	37	
praot	praot	VERB	37	
noch	noch	ADV	37	
old	oud	ADJ	37	
Westerwoolds	Westerwoolds	PROPN	37	
,	,	PUNCT	37	
man	man	NOUN	37	
umdat	umdat	SCONJ	37	
de	de	DET	37	
meiste	meist	NOUN	37	
anner	andnere	ADP	37	
luu	lui	NOUN	37	
dat	dat	PRON	37	
nich	nich	ADV	37	
verstaot	verstaot	VERB	37	
,	,	PUNCT	37	
past	past	VERB	37	
zi	zi	PRON	37	
zuk	zich	PRON	37	
			0	
ok	ok	PRON	38	
vaok	vaok	VERB	38	
an	an	ADP	38	
en	en	CCONJ	38	
praot	praot	VERB	38	
Veenkeloniaols	Veenkeloniaols	PROPN	38	
.	.	PUNCT	38	
			0	
t	het	PRON	39	
Gebied	Gebied	VERB	39	
waor	waar	ADV	39	
as	als	SCONJ	39	
dizze	deze	DET	39	
enkelde	enkelde	NOUN	39	
ollen	ollen	VERB	39	
woont	wonen	VERB	39	
besteit	besteit	NOUN	39	
oet	uit	ADP	39	
de	de	DET	39	
dörpen	dörpen	NOUN	39	
Traopel	Traopel	PROPN	39	
,	,	PUNCT	39	
Zèlng	Zèlng	PROPN	39	
,	,	PUNCT	39	
Onswedde	Onswetting	PROPN	39	
,	,	PUNCT	39	
Boertang	Boertang	PROPN	39	
,	,	PUNCT	39	
Wedde	Wet	PROPN	39	
en	en	CCONJ	39	
aalns	aalns	ADV	39	
daortusken	daortusken	VERB	39	
.	.	PUNCT	39	
In	in	ADP	40	
tegenzats	tegenzats	NOUN	40	
to	to	ADP	40	
de	de	DET	40	
rest	rest	NOUN	40	
van	van	ADP	40	
Grönnen	Groningen	PROPN	40	
,	,	PUNCT	40	
kende	kunnen	VERB	40	
Westerwoolde	Westerwooud	PROPN	40	
vrouger	vroeger	ADJ	40	
veul	veel	ADV	40	
onnerscheid	onnerscheid	ADV	40	
tusken	tussen	VERB	40	
de	de	DET	40	
dörpen	dörpen	NOUN	40	
,	,	PUNCT	40	
in	in	ADP	40	
tieds	tieds	NOUN	40	
dat	dat	SCONJ	40	
in	in	ADP	40	
de	de	DET	40	
rest	rest	NOUN	40	
van	van	ADP	40	
Grönnen	Groningen	PROPN	40	
zuk	zich	PRON	40	
meer	meer	ADV	40	
			0	
streekdialekten	streekdialekten	NOUN	41	
oentwikkeld	oentwikkelen	VERB	41	
haart	hart	NOUN	41	
.	.	PUNCT	41	
Zo	zo	ADV	42	
zee	zeggen	VERB	42	
man	man	NOUN	42	
vrouger	vroeger	ADJ	42	
in	in	ADP	42	
Traopel	Traopel	PROPN	42	
"	"	PUNCT	42	
wi	wi	ADJ	42	
weert	waart	NOUN	42	
"	"	PUNCT	42	
,	,	PUNCT	42	
in	in	ADP	42	
Zèlng	Zèlng	PROPN	42	
“	“	PUNCT	42	
wi	wi	ADV	42	
wordde	worden	VERB	42	
"	"	PUNCT	42	
en	en	CCONJ	42	
Bleiem	Bleiem	PROPN	42	
“	“	PUNCT	42	
wi	wi	ADV	42	
wörren	wörren	VERB	42	
”	”	PUNCT	42	
.	.	PUNCT	42	
In	in	ADP	43	
Traopel	Traopel	NOUN	43	
zee	zeggen	VERB	43	
man	man	NOUN	43	
"	"	PUNCT	43	
wi	wi	PRON	43	
zint	zint	VERB	43	
”	”	PUNCT	43	
,	,	PUNCT	43	
in	in	ADP	43	
Onstwedde	Onstwetting	PROPN	43	
"	"	PUNCT	43	
wi	wi	PRON	43	
zunt	sindz	VERB	43	
”	”	PUNCT	43	
,	,	PUNCT	43	
in	in	ADP	43	
Zèlng	Zèlng	PROPN	43	
"	"	PUNCT	43	
wi	wi	PRON	43	
bint	bint	VERB	43	
”	”	PUNCT	43	
of	of	CCONJ	43	
			0	
“	“	PUNCT	44	
wi	wi	PRON	44	
bunt	sindb	VERB	44	
”	”	PUNCT	44	
en	en	CCONJ	44	
in	in	ADP	44	
Bleiem	Bleiem	PROPN	44	
“	“	PUNCT	44	
wi	wi	ADV	44	
bint	bint	VERB	44	
"	"	PUNCT	44	
of	of	CCONJ	44	
“	“	PUNCT	44	
wi	wi	NOUN	44	
binnen	zijn	AUX	44	
”	”	PUNCT	44	
.	.	PUNCT	44	
Ok	Oijk	ADV	45	
an	aan	ADP	45	
dizze	deze	DET	45	
dialektverglieken	dialektverglieken	NOUN	45	
zugt	zien	VERB	45	
man	man	NOUN	45	
dat	dat	SCONJ	45	
Traopel	Traopel	PROPN	45	
vrouger	vroeger	ADJ	45	
t	het	DET	45	
meist	meist	NOUN	45	
"	"	PUNCT	45	
konservatief	konservatijf	NOUN	45	
"	"	PUNCT	45	
pruit	zeggen	VERB	45	
,	,	PUNCT	45	
of	of	CCONJ	45	
t	het	PRON	45	
meist	meist	VERB	45	
Duutseg	Duutsig	PROPN	45	
.	.	PUNCT	45	
n	een	DET	45	
Westerwooldse	Westerwoolds	ADJ	45	
schriever	schrijver	NOUN	45	
waar	waar	CCONJ	45	
J.	j	PROPN	45	
H.	H	PROPN	46	
Neuteboom	Neuteboom	NOUN	47	
,	,	PUNCT	47	
eigentliek	eigentlijk	ADV	47	
de	de	DET	47	
einegste	eineg	ADJ	47	
Westerwooldse	Westerwoolds	PROPN	47	
schriever	schrijver	NOUN	47	
van	van	ADP	47	
belaank	belank	NOUN	47	
.	.	PUNCT	47	
Obwool	Obwool	ADP	48	
de	de	DET	48	
weerde	waarde	NOUN	48	
en	en	CCONJ	48	
authensiteit	authensiteit	NOUN	48	
van	van	ADP	48	
zin	zin	NOUN	48	
waark	werk	NOUN	48	
deur	door	ADP	48	
verscheidene	verscheidjn	ADJ	48	
taolkundegen	taolkundeg	NOUN	48	
betwievelt	betwievellen	VERB	48	
wodt	woden	VERB	48	
,	,	PUNCT	48	
priest	priest	VERB	48	
Heeroma	Heeroma	PROPN	48	
hum	hum	NOUN	48	
in	in	ADP	48	
t	het	DET	48	
bouk	boek	NOUN	48	
an	an	ADP	48	
as	als	SCONJ	48	
n	een	DET	48	
weerdege	weerder	NOUN	48	
literère	literèr	ADJ	48	
schriever	schrijver	NOUN	48	
dei	deien	VERB	48	
t	het	PRON	48	
Westerwoolds	Westerwoold	ADV	48	
wizzelk	wisselijk	ADJ	48	
wol	willen	VERB	48	
goud	goed	ADJ	48	
beheerst	beheerst	VERB	48	
hebben	hebben	VERB	48	
zol	zullen	AUX	48	
.	.	PUNCT	48	
Literère	Literèr	ADJ	49	
teksten	tekst	NOUN	49	
zint	zint	VERB	49	
ja	ja	INTJ	49	
vaok	vaok	ADV	49	
anners	nners	ADV	49	
as	als	SCONJ	49	
de	de	DET	49	
spreektaol	spreektaol	NOUN	49	
.	.	PUNCT	49	
